experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_4,Joint MD,300.0,1.0,reg_m1,reg_m2,0.2577887686359244,"[0.20018241178747773, 0.20020613705013765, 0.19998884855609902, 0.19971706684442242, 0.19990553576186315]",0.011145679520945338,True
experiment_4,Joint MD,1.0,300.0,reg_m1,reg_m2,0.246786019974609,"[0.2159889038680896, 0.24687830917036974, 0.21616558637345623, 0.16561808614460594, 0.15534911444347854]",0.00945859077746896,True
experiment_4,Joint MD,1.0,1.0,reg_m1,reg_m2,0.25815056056191166,"[0.20018423665742396, 0.19995674375317193, 0.19991685238441012, 0.19978373930844825, 0.20015842789654564]",0.017606674632808315,True
experiment_4,Joint MD,300.0,300.0,reg_m1,reg_m2,0.24804393703323066,"[0.2369355611328185, 0.23474600169011858, 0.19641526336674417, 0.14404247035056622, 0.1878607034597526]",0.013906513802420951,True
experiment_4,Simple WS,0.05,,learning_rate,,0.28762924560714065,"[0.19222349903861657, 0.1901618781578131, 0.20583048763016198, 0.20675281876893337, 0.20503131640447492]",0.6019551683813685,True
