experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success,features_used,target_mass_pct
experiment_2,Joint MD,2.0,2.0,reg_m1,reg_m2,0.1463485951689638,"[0.4318257024155181, 0.5681742975844819]",0.0009818108794242923,True,4968,90.0
experiment_2,Joint MD,12.0,2.0,reg_m1,reg_m2,0.1057889066775991,"[0.4521055466612004, 0.5478944533387995]",0.0005387441023494842,True,4968,90.0
experiment_2,Joint MD,2.0,32.0,reg_m1,reg_m2,0.2217270290282375,"[0.3941364854858812, 0.6058635145141187]",0.0002676792312919504,True,4968,90.0
experiment_2,Joint MD,12.0,32.0,reg_m1,reg_m2,0.15291530087413574,"[0.42854234956293213, 0.5714576504370679]",0.0002655840439859632,True,4968,90.0
experiment_2,Joint MD,2.0,62.0,reg_m1,reg_m2,0.2126897731994669,"[0.3986551134002666, 0.6013448865997335]",0.00026702862946423366,True,4968,90.0
experiment_2,Joint MD,12.0,62.0,reg_m1,reg_m2,0.1506537330868657,"[0.4296731334565671, 0.5703268665434328]",0.00026429038617943205,True,4968,90.0
experiment_2,Joint MD,2.0,92.0,reg_m1,reg_m2,0.23455222329140346,"[0.3877238883542983, 0.6122761116457017]",0.00026868796206482146,True,4968,90.0
experiment_2,Joint MD,2.0,182.0,reg_m1,reg_m2,0.04246551273111465,"[0.4837672436344427, 0.5162327563655573]",0.00024882856294499556,True,4968,90.0
experiment_2,Joint MD,2.0,122.0,reg_m1,reg_m2,0.22460643105601524,"[0.39269678447199236, 0.6073032155280076]",0.0002681908790339834,True,4968,90.0
experiment_2,Joint MD,2.0,152.0,reg_m1,reg_m2,0.11779678875369365,"[0.4461016056231532, 0.5538983943768468]",0.00025695699467049964,True,4968,90.0
experiment_2,Joint MD,2.0,212.0,reg_m1,reg_m2,0.013282363491840476,"[0.49835881825407985, 0.5016411817459203]",0.0002460059528229543,True,4968,90.0
experiment_2,Joint MD,2.0,302.0,reg_m1,reg_m2,0.0959009888374931,"[0.45704950558125346, 0.5429504944187465]",0.00025616082138257243,True,4968,90.0
experiment_2,Joint MD,2.0,242.0,reg_m1,reg_m2,0.10808982814985807,"[0.450955085925071, 0.5490449140749291]",0.000257314467678695,True,4968,90.0
experiment_2,Joint MD,2.0,272.0,reg_m1,reg_m2,0.06021619059941763,"[0.4748919047002912, 0.5251080952997088]",0.00025198559553023177,True,4968,90.0
experiment_2,Joint MD,12.0,92.0,reg_m1,reg_m2,0.1426885859498761,"[0.43365570702506195, 0.566344292974938]",0.0002637844623312929,True,4968,90.0
experiment_2,Joint MD,22.0,32.0,reg_m1,reg_m2,0.11398670987720805,"[0.448006645061396, 0.551993354938604]",0.0004402843333677322,True,4968,90.0
experiment_2,Joint MD,22.0,2.0,reg_m1,reg_m2,0.10785796780244383,"[0.4510710160987781, 0.5489289839012219]",0.0005096526133558822,True,4968,90.0
experiment_2,Joint MD,12.0,122.0,reg_m1,reg_m2,0.1358112892076544,"[0.4370943553961728, 0.5629056446038272]",0.0002644826813152985,True,4968,90.0
experiment_2,Joint MD,22.0,62.0,reg_m1,reg_m2,0.1344172184447004,"[0.4377913907776498, 0.5622086092223502]",0.00026441405389876455,True,4968,90.0
experiment_2,Joint MD,12.0,152.0,reg_m1,reg_m2,0.08441475801627873,"[0.4627926209918607, 0.5372073790081394]",0.00025825596701882367,True,4968,90.0
experiment_2,Joint MD,22.0,92.0,reg_m1,reg_m2,0.11140250485383985,"[0.4492987475730801, 0.5507012524269199]",0.00026449957033027066,True,4968,90.0
experiment_2,Joint MD,12.0,182.0,reg_m1,reg_m2,0.13049816701951722,"[0.43975091649024134, 0.5602490835097585]",0.0002641729540596208,True,4968,90.0
experiment_2,Joint MD,12.0,212.0,reg_m1,reg_m2,0.10726963048070726,"[0.4513651847596464, 0.5486348152403536]",0.0002616327090136918,True,4968,90.0
experiment_2,Joint MD,12.0,242.0,reg_m1,reg_m2,0.12370581527109631,"[0.44314709236445177, 0.5568529076355481]",0.00026483419460246574,True,4968,90.0
experiment_2,Joint MD,22.0,122.0,reg_m1,reg_m2,0.12578887727256172,"[0.44210556136371915, 0.5578944386362809]",0.00026454473528199785,True,4968,90.0
experiment_2,Joint MD,12.0,272.0,reg_m1,reg_m2,0.09173331510770893,"[0.4591333424461455, 0.5408666575538544]",0.0002609562105053299,True,4968,90.0
