experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_5,Joint MD,5.0,5.0,reg_m1,reg_m2,0.36642486222238724,"[0.24984084746144064, 0.17027730207597308, 0.19678515823385573, 0.1256694193513927, 0.2574272728773379]",0.07222191908995775,True
experiment_5,Joint MD,42.5,42.5,reg_m1,reg_m2,0.39783212452426087,"[0.2562351018356232, 0.16033250947365504, 0.2051956164042755, 0.11351632642859139, 0.2647204458578549]",0.06989412101350273,True
experiment_5,Joint MD,42.5,80.0,reg_m1,reg_m2,0.4386487988998446,"[0.30173909618849815, 0.14748790139856918, 0.19836973519431672, 0.06044860296301042, 0.29195466425560557]",0.03395883363991615,True
experiment_5,Joint MD,5.0,42.5,reg_m1,reg_m2,0.29684023598247294,"[0.2918458971757042, 0.19367325819731232, 0.16681179214088246, 0.09506072663574698, 0.2526083258503539]",0.032996964405697146,True
experiment_5,Joint MD,42.5,5.0,reg_m1,reg_m2,0.46983114585288543,"[0.2871443996436444, 0.13966812890942498, 0.21184291460024152, 0.06727189852048787, 0.29407265832620116]",0.0691976688751037,True
experiment_5,Joint MD,42.5,117.5,reg_m1,reg_m2,0.46046846631040467,"[0.29598924604052324, 0.14484460456297257, 0.21489869958587302, 0.05793191624130192, 0.28633553356932934]",0.03416987794905977,True
experiment_5,Joint MD,42.5,155.0,reg_m1,reg_m2,0.4363827617290763,"[0.2961630323375525, 0.14709846743092309, 0.1977428072447027, 0.06754711936698626, 0.2914485736198354]",0.033537203041939745,True
experiment_5,Joint MD,5.0,80.0,reg_m1,reg_m2,0.3394521581491864,"[0.2737650466854882, 0.18314272697065132, 0.18588130392497806, 0.10236614726926732, 0.2548447751496151]",0.03373968811738307,True
experiment_5,Joint MD,5.0,117.5,reg_m1,reg_m2,0.30497588335732473,"[0.2758433797046675, 0.18461903663599227, 0.18593175079145804, 0.11604964198067785, 0.23755619088720428]",0.03336760875203175,True
experiment_5,Joint MD,5.0,192.5,reg_m1,reg_m2,0.3685830613666476,"[0.2515496138150713, 0.16951091041586866, 0.22381161623422988, 0.12364794508573634, 0.23147991444909397]",0.034703146116092806,True
experiment_5,Joint MD,80.0,80.0,reg_m1,reg_m2,0.41990138091585705,"[0.2668571477741912, 0.15278560676733813, 0.20591254775384946, 0.0994065550005422, 0.27503814270407906]",0.06957771076236656,True
experiment_5,Joint MD,5.0,155.0,reg_m1,reg_m2,0.3231084224319224,"[0.25867966804470444, 0.17671250920951007, 0.20411528711377316, 0.1320536115298244, 0.2284389241021881]",0.03388162273353671,True
experiment_5,Joint MD,5.0,267.5,reg_m1,reg_m2,0.37000622317688914,"[0.24900065732474183, 0.1638122573816855, 0.22077723042730976, 0.13118397370512802, 0.23522588116113471]",0.03443839209992023,True
experiment_5,Joint MD,5.0,305.0,reg_m1,reg_m2,0.3243458525540587,"[0.25117515138415164, 0.1781911795819436, 0.22307817979047165, 0.1374607427568755, 0.2100947464865577]",0.03450401677122741,True
experiment_5,Joint MD,80.0,42.5,reg_m1,reg_m2,0.4648035369944198,"[0.2846847277612764, 0.14096804212742586, 0.21132009715515415, 0.07094546161408793, 0.29208167134205576]",0.06907206692823956,True
experiment_5,Joint MD,5.0,230.0,reg_m1,reg_m2,0.37754176024287367,"[0.24350767641526988, 0.17940165884861234, 0.21882247213375566, 0.11731978461468098, 0.2409484079876812]",0.035161185295491455,True
experiment_5,Joint MD,42.5,192.5,reg_m1,reg_m2,0.4256204490456966,"[0.28885317653283926, 0.14860126828538436, 0.2009802373518926, 0.0787353306589281, 0.2828299871709557]",0.03361434698375329,True
experiment_5,Joint MD,80.0,117.5,reg_m1,reg_m2,0.45766507221140446,"[0.2964742172088139, 0.13975339396700712, 0.20964213282853053, 0.06393985271847673, 0.2901904032771716]",0.03559606443167143,True
experiment_5,Joint MD,42.5,230.0,reg_m1,reg_m2,0.42018829888972775,"[0.2816764202737775, 0.14785687985334983, 0.1995845340700963, 0.08937255042800882, 0.28150961537476754]",0.03355233865972895,True
experiment_5,Joint MD,80.0,5.0,reg_m1,reg_m2,0.46900124460056214,"[0.28838674227022215, 0.1395343930400369, 0.21058711443185052, 0.06657824238945992, 0.2949135078684305]",0.0691894723139043,True
experiment_5,Joint MD,42.5,267.5,reg_m1,reg_m2,0.43556063552757807,"[0.2839913843863724, 0.14521068458432765, 0.21701318096514824, 0.08201761326551092, 0.27176713679864073]",0.03404982063635067,True
