experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_8,Joint MD,5.0,5.0,reg_m1,reg_m2,0.3950571920419081,"[0.567728596020954, 0.432271403979046]",0.47395421944141025,True
experiment_8,Joint MD,42.5,42.5,reg_m1,reg_m2,0.4079201249867641,"[0.574160062493382, 0.42583993750661797]",0.4752637572976167,True
experiment_8,Joint MD,42.5,80.0,reg_m1,reg_m2,0.6140891053525793,"[0.6772445526762897, 0.3227554473237104]",0.35361641706634933,True
experiment_8,Joint MD,5.0,42.5,reg_m1,reg_m2,0.6203475079571625,"[0.6803737539785812, 0.31962624602141876]",0.35389941380475526,True
experiment_8,Joint MD,42.5,155.0,reg_m1,reg_m2,0.6213680555087568,"[0.6808840277543784, 0.31911597224562166]",0.3538588703456,True
experiment_8,Joint MD,42.5,117.5,reg_m1,reg_m2,0.6261931170517898,"[0.6832965585258949, 0.3167034414741051]",0.35351973730493597,True
experiment_8,Joint MD,42.5,5.0,reg_m1,reg_m2,0.5513037100015777,"[0.6458518550007888, 0.3541481449992111]",0.4774959363203101,True
experiment_8,Joint MD,5.0,155.0,reg_m1,reg_m2,0.4865418607620085,"[0.6134709303810042, 0.38652906961899575]",0.36231295911541944,True
experiment_8,Joint MD,5.0,80.0,reg_m1,reg_m2,0.625853384556094,"[0.683126692278047, 0.3168733077219531]",0.35368327323137655,True
experiment_8,Joint MD,5.0,192.5,reg_m1,reg_m2,0.44506513426631633,"[0.5927325671331581, 0.40726743286684186]",0.3648746255340511,True
experiment_8,Joint MD,80.0,80.0,reg_m1,reg_m2,0.4611114398337607,"[0.6007557199168804, 0.39924428008311974]",0.47127942541220164,True
experiment_8,Joint MD,5.0,117.5,reg_m1,reg_m2,0.5324892522607647,"[0.6364446261303823, 0.3635553738696177]",0.35947119435314195,True
experiment_8,Joint MD,42.5,192.5,reg_m1,reg_m2,0.5841460716824014,"[0.6622730358412007, 0.3377269641587993]",0.3562919520615771,True
experiment_8,Joint MD,5.0,230.0,reg_m1,reg_m2,0.4185594840317764,"[0.5794797420158881, 0.4205202579841118]",0.3664936661115032,True
experiment_8,Joint MD,5.0,267.5,reg_m1,reg_m2,0.40550552692837627,"[0.5729527634641881, 0.4270472365358119]",0.3673052818935894,True
