experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success,features_used,target_mass_pct
experiment_5,Joint MD,2.0,2.0,reg_m1,reg_m2,0.4413393374391132,"[0.22130236094596, 0.13767268456248802, 0.07185528577199535, 0.24021190783346658, 0.32895776088608997]",0.0011104569754135504,True,3139,90.0
experiment_5,Joint MD,12.0,2.0,reg_m1,reg_m2,0.4640466096957765,"[0.23763566307904305, 0.11354087894616405, 0.06830015312690473, 0.2889753109934017, 0.2915479938544866]",0.0007242538312236519,True,3139,90.0
experiment_5,Joint MD,2.0,32.0,reg_m1,reg_m2,0.40519919023479356,"[0.27097531934094643, 0.16168551580569834, 0.016239569735958494, 0.2622245703660689, 0.2888750247513279]",9.324821034771484e-05,True,3139,90.0
experiment_5,Joint MD,12.0,32.0,reg_m1,reg_m2,0.4489406096420574,"[0.24114545465023957, 0.14112736258455955, 0.04475687794417216, 0.2763016208257228, 0.2966686839953059]",0.00013027843387842825,True,3139,90.0
experiment_5,Joint MD,2.0,62.0,reg_m1,reg_m2,0.46058340728164704,"[0.2670154375122985, 0.14462802149947837, 0.009564837347399626, 0.2807574419012376, 0.2980342617395859]",9.096625872134639e-05,True,3139,90.0
experiment_5,Joint MD,2.0,92.0,reg_m1,reg_m2,0.442774880791717,"[0.2575250673006149, 0.16287341715584305, 0.009714075147683516, 0.25854252490067936, 0.3113449154951791]",9.205384530876958e-05,True,3139,90.0
experiment_5,Joint MD,2.0,152.0,reg_m1,reg_m2,0.4569875398825714,"[0.23971785446271407, 0.16823156406330672, 0.015056811532693486, 0.25996971533816216, 0.3170240546031235]",9.590107886633905e-05,True,3139,90.0
experiment_5,Joint MD,12.0,62.0,reg_m1,reg_m2,0.4924114849722917,"[0.24213564965600037, 0.14466230995426252, 0.01849629790359134, 0.29139201126103276, 0.3033137312251131]",9.823411687150139e-05,True,3139,90.0
experiment_5,Joint MD,2.0,122.0,reg_m1,reg_m2,0.45459809627306097,"[0.24119051530336744, 0.17137426569554326, 0.0116361708645588, 0.23815761964848856, 0.3376414284880419]",9.684963385472487e-05,True,3139,90.0
experiment_5,Joint MD,2.0,242.0,reg_m1,reg_m2,0.49099435406102565,"[0.21965024149575366, 0.1720320613954391, 0.014320520078294388, 0.26844940951197266, 0.32554776751854014]",9.770763299147245e-05,True,3139,90.0
