experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_5,Joint MD,300.0,1.0,reg_m1,reg_m2,0.25827482412078845,"[0.20010205515649265, 0.199909240518179, 0.2000833023885102, 0.19985129226493412, 0.20005410967188397]",0.0746607502136104,True
experiment_5,Joint MD,300.0,300.0,reg_m1,reg_m2,0.2802392360428668,"[0.25563176747440025, 0.19407960772141414, 0.209131334204433, 0.13916900678275218, 0.20198828381700032]",0.04871785781025804,True
experiment_5,Joint MD,1.0,1.0,reg_m1,reg_m2,0.25828880725665626,"[0.2001408704070185, 0.19992597205236698, 0.20000074197701886, 0.19978875391228643, 0.20014366165130928]",0.07615704840553732,True
experiment_5,Joint MD,1.0,300.0,reg_m1,reg_m2,0.2589590559962798,"[0.22972640989957602, 0.19288109100385709, 0.19077849924326898, 0.17691297109842705, 0.20970102875487093]",0.03380200961575724,True
experiment_5,Simple WS,0.05,,learning_rate,,0.28490381832993505,"[0.19320031481100333, 0.1905477760240292, 0.20338635516200526, 0.20377445854857143, 0.20909109545439084]",0.5775235482656179,True
