experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_7,Joint MD,42.5,42.5,reg_m1,reg_m2,0.6837263456076902,"[0.49852434794719325, 0.5014756520528068]",0.6753745828143282,True
experiment_7,Joint MD,5.0,5.0,reg_m1,reg_m2,0.6896974795297903,"[0.4955387809861432, 0.5044612190138568]",0.6812375925638983,True
experiment_7,Joint MD,42.5,80.0,reg_m1,reg_m2,0.4941941417175622,"[0.5932904498922572, 0.40670955010774273]",0.6403714947797293,True
experiment_7,Joint MD,5.0,42.5,reg_m1,reg_m2,0.378101821083582,"[0.6513366102092474, 0.3486633897907527]",0.6135903357365499,True
experiment_7,Joint MD,42.5,5.0,reg_m1,reg_m2,0.6861256019154943,"[0.4973247197932912, 0.5026752802067088]",0.7139639589859702,True
experiment_7,Joint MD,42.5,117.5,reg_m1,reg_m2,0.5566650450047392,"[0.5620549982486687, 0.4379450017513312]",0.6555310325704415,True
experiment_7,Joint MD,5.0,80.0,reg_m1,reg_m2,0.41835652181102384,"[0.6312092598455264, 0.3687907401544736]",0.6230203300068813,True
experiment_7,Joint MD,42.5,155.0,reg_m1,reg_m2,0.5793057637501563,"[0.5507346388759602, 0.4492653611240398]",0.6611031691655672,True
experiment_7,Joint MD,5.0,117.5,reg_m1,reg_m2,0.47249915459161407,"[0.6041379434552313, 0.3958620565447687]",0.6359358875882449,True
experiment_7,Joint MD,5.0,230.0,reg_m1,reg_m2,0.4730952271720001,"[0.6038399071650382, 0.3961600928349616]",0.6359916982804278,True
experiment_7,Joint MD,80.0,80.0,reg_m1,reg_m2,0.6825365352728129,"[0.4991192531146319, 0.5008807468853681]",0.6748512197488298,True
experiment_7,Joint MD,5.0,155.0,reg_m1,reg_m2,0.39433960746914604,"[0.6432177170164654, 0.3567822829835347]",0.6173432951285776,True
experiment_7,Joint MD,5.0,192.5,reg_m1,reg_m2,0.4395788028496826,"[0.620598119326197, 0.3794018806738029]",0.628073182091499,True
experiment_7,Joint MD,42.5,192.5,reg_m1,reg_m2,0.5678800331231691,"[0.5564475041894538, 0.44355249581054623]",0.6581994167831161,True
experiment_7,Joint MD,5.0,267.5,reg_m1,reg_m2,0.5177076866610557,"[0.5815336774205104, 0.41846632257948946]",0.6465983114364668,True
experiment_7,Joint MD,5.0,305.0,reg_m1,reg_m2,0.503074964307422,"[0.5888500385973273, 0.4111499614026727]",0.6431369786690936,True
experiment_7,Joint MD,80.0,117.5,reg_m1,reg_m2,0.5114752971911749,"[0.5846498721554508, 0.41535012784454906]",0.6473237060370042,True
experiment_7,Joint MD,80.0,42.5,reg_m1,reg_m2,0.6817189990859917,"[0.4995280212080425, 0.5004719787919575]",0.7146554432692663,True
experiment_7,Joint MD,42.5,230.0,reg_m1,reg_m2,0.6256215155757597,"[0.5275767629631585, 0.4724232370368415]",0.671843517929479,True
experiment_7,Joint MD,117.5,117.5,reg_m1,reg_m2,0.6829433168653779,"[0.4989158623183494, 0.5010841376816506]",0.6766205131778473,True
experiment_7,Joint MD,80.0,155.0,reg_m1,reg_m2,0.5649566370263744,"[0.5579092022378511, 0.4420907977621489]",0.6571099948203636,True
experiment_7,Joint MD,117.5,80.0,reg_m1,reg_m2,0.6822034957364272,"[0.4992857728828247, 0.5007142271171753]",0.7128046245625892,True
experiment_7,Joint MD,80.0,192.5,reg_m1,reg_m2,0.6172214601333941,"[0.5317767906843414, 0.4682232093156587]",0.6695141721759768,True
experiment_7,Joint MD,42.5,267.5,reg_m1,reg_m2,0.5359754098748065,"[0.5723998158136351, 0.4276001841863649]",0.6509821910735086,True
experiment_7,Joint MD,42.5,305.0,reg_m1,reg_m2,0.5356810076732565,"[0.5725470169144101, 0.42745298308559]",0.650762417628261,True
experiment_7,Joint MD,80.0,230.0,reg_m1,reg_m2,0.5983616701884531,"[0.5412066856568118, 0.45879331434318826]",0.6653034803661148,True
experiment_7,Joint MD,117.5,155.0,reg_m1,reg_m2,0.5445858850281617,"[0.5680945782369574, 0.43190542176304253]",0.6243093366896469,True
experiment_7,Joint MD,80.0,5.0,reg_m1,reg_m2,0.6866875376645726,"[0.49704375191875205, 0.502956248081248]",0.7144169099617715,True
experiment_7,Joint MD,117.5,192.5,reg_m1,reg_m2,0.5541385045390792,"[0.5633182684814988, 0.43668173151850126]",0.65448483745774,True
experiment_7,Joint MD,80.0,305.0,reg_m1,reg_m2,0.530353851095646,"[0.5752105952032153, 0.4247894047967847]",0.6493514755722547,True
experiment_7,Joint MD,155.0,155.0,reg_m1,reg_m2,0.6834999487361724,"[0.49863754638295216, 0.5013624536170479]",0.6747564426115771,True
experiment_7,Joint MD,117.5,42.5,reg_m1,reg_m2,0.6839491726339649,"[0.4984129344340559, 0.5015870655659441]",0.7151527019587246,True
experiment_7,Joint MD,80.0,267.5,reg_m1,reg_m2,0.6141807366307579,"[0.5332971524356593, 0.4667028475643406]",0.6692017051173429,True
experiment_7,Joint MD,155.0,117.5,reg_m1,reg_m2,0.6824679672051688,"[0.49915353714845395, 0.500846462851546]",0.7119752808777335,True
