experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_8,Joint MD,1.0,300.0,reg_m1,reg_m2,0.3399806393378073,"[0.5401903196689036, 0.45980968033109637]",0.3172677008050122,True
experiment_8,Joint MD,1.0,1.0,reg_m1,reg_m2,0.26005316615579915,"[0.5002265830778996, 0.4997734169221005]",0.48892365713114216,True
experiment_8,Joint MD,300.0,1.0,reg_m1,reg_m2,0.2599779045464307,"[0.5001889522732154, 0.4998110477267847]",0.8459315971028576,True
experiment_8,Joint MD,300.0,300.0,reg_m1,reg_m2,0.4105049087042326,"[0.5754524543521163, 0.4245475456478838]",0.6092079802050058,True
experiment_8,Simple WS,0.05,,learning_rate,,0.16177256030547443,"[0.45108628015273716, 0.5489137198472628]",0.5351419171168614,True
