experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success,features_used,target_mass_pct
experiment_3,Joint MD,2.0,2.0,reg_m1,reg_m2,0.07968368058555494,"[0.7574558247918634, 0.08764302533353928, 0.09081265455340261, 0.06408849532119475]",0.0005549646423567902,True,3711,90.0
experiment_3,Joint MD,12.0,2.0,reg_m1,reg_m2,0.27459086718369297,"[0.863753268036219, 0.038117787213222204, 0.053888401849389755, 0.044240542901169036]",0.000666523950724484,True,3711,90.0
experiment_3,Joint MD,12.0,32.0,reg_m1,reg_m2,0.292842246482121,"[0.872878957685433, 0.040632188525892954, 0.035512975326970536, 0.05097587846170355]",0.0004528899912474719,True,3711,90.0
experiment_3,Joint MD,2.0,32.0,reg_m1,reg_m2,0.3540364369913964,"[0.5494396159486743, 0.13833536947121752, 0.17128920556359617, 0.14093580901651204]",0.00031229093727338044,True,3711,90.0
experiment_3,Joint MD,2.0,62.0,reg_m1,reg_m2,0.5620838095367536,"[0.44541592967599575, 0.1702201507382512, 0.19156245038612515, 0.19280146919962807]",0.0002599350561208514,True,3711,90.0
experiment_3,Joint MD,2.0,92.0,reg_m1,reg_m2,0.67983435019425,"[0.3865406593472476, 0.2012455232214389, 0.2042745056170987, 0.2079393118142149]",0.0002294879813782341,True,3711,90.0
experiment_3,Joint MD,12.0,62.0,reg_m1,reg_m2,0.16305776221766485,"[0.8079867155532049, 0.05764140278022183, 0.07535069072336059, 0.05902119094321261]",0.0004185879058391274,True,3711,90.0
experiment_3,Joint MD,2.0,122.0,reg_m1,reg_m2,0.7676260156803698,"[0.34264482660418766, 0.22010424804724035, 0.208912557684952, 0.22833836766362003]",0.0002071208495417488,True,3711,90.0
experiment_3,Joint MD,2.0,182.0,reg_m1,reg_m2,0.7960917610177416,"[0.32841195393550165, 0.2408918611756276, 0.21424079172710794, 0.2164553931617627]",0.00019691533698791978,True,3711,90.0
experiment_3,Joint MD,2.0,152.0,reg_m1,reg_m2,0.7639942535970354,"[0.34446070764585485, 0.216711057078041, 0.22855884006555388, 0.21026939521055035]",0.0002072198577150275,True,3711,90.0
experiment_3,Joint MD,2.0,212.0,reg_m1,reg_m2,0.8724582579588881,"[0.29022870546492846, 0.254899550486496, 0.21703853684619026, 0.2378332072023853]",0.00017910754124321967,True,3711,90.0
