experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_11,Joint MD,5.0,5.0,reg_m1,reg_m2,0.1979786394697083,"[0.3865106802651459, 0.3379241529688123, 0.2755651667660419]",0.049228630164326985,True
experiment_11,Joint MD,5.0,20.0,reg_m1,reg_m2,0.2468122541583542,"[0.3782335360171344, 0.3661061270791771, 0.2556603369036885]",0.031573732900279775,True
experiment_11,Joint MD,5.0,50.0,reg_m1,reg_m2,0.2259607567488824,"[0.39098286625977746, 0.3556803783744412, 0.2533367553657813]",0.03180552166315286,True
experiment_11,Joint MD,5.0,35.0,reg_m1,reg_m2,0.2490910048144164,"[0.3794865290273401, 0.3672455024072082, 0.2532679685654517]",0.031547248593367015,True
experiment_11,Joint MD,5.0,95.0,reg_m1,reg_m2,0.2218354996114795,"[0.3831251990346909, 0.35361774980573973, 0.2632570511595693]",0.031786915945910155,True
experiment_11,Joint MD,5.0,65.0,reg_m1,reg_m2,0.22134153553811772,"[0.38412648984350084, 0.3533707677690589, 0.2625027423874403]",0.03179740396465926,True
experiment_11,Joint MD,5.0,80.0,reg_m1,reg_m2,0.19198037630229645,"[0.38950981184885175, 0.3338293188524187, 0.2766608692987295]",0.03214718248219166,True
experiment_11,Joint MD,5.0,155.0,reg_m1,reg_m2,0.2155226139258493,"[0.3818002162674572, 0.35046130696292466, 0.26773847676961815]",0.031829343395733074,True
experiment_11,Joint MD,5.0,170.0,reg_m1,reg_m2,0.17801197706099478,"[0.3964940114695026, 0.29995460679091795, 0.3035513817395794]",0.032745941065947366,True
experiment_11,Joint MD,5.0,140.0,reg_m1,reg_m2,0.18932689818855844,"[0.3908365509057207, 0.33513487183830953, 0.27402857725596963]",0.032129605894935784,True
experiment_11,Joint MD,5.0,110.0,reg_m1,reg_m2,0.17809711126312175,"[0.39645144436843915, 0.3311634963839084, 0.2723850592476525]",0.03222329311617658,True
experiment_11,Joint MD,5.0,125.0,reg_m1,reg_m2,0.17751457090427378,"[0.39674271454786314, 0.32908620564647817, 0.27417107980565875]",0.03225896806522114,True
experiment_11,Joint MD,20.0,20.0,reg_m1,reg_m2,0.21986198898562323,"[0.38375443654612224, 0.35263099449281154, 0.26361456896106605]",0.048993393517607196,True
experiment_11,Joint MD,5.0,185.0,reg_m1,reg_m2,0.17566501922397545,"[0.39766749038801225, 0.2997255764584085, 0.30260693315357917]",0.03275501263056938,True
experiment_11,Joint MD,20.0,5.0,reg_m1,reg_m2,0.21755230275433543,"[0.3858273886467434, 0.3514761513771677, 0.26269645997608887]",0.049132681768178414,True
experiment_11,Joint MD,20.0,35.0,reg_m1,reg_m2,0.2347301047502792,"[0.38193308055163155, 0.3600650523751397, 0.2580018670732289]",0.03226230213335956,True
experiment_11,Joint MD,5.0,200.0,reg_m1,reg_m2,0.1705592193949604,"[0.4002203903025198, 0.3147252382553154, 0.28505437144216483]",0.03251518991817089,True
experiment_11,Joint MD,5.0,215.0,reg_m1,reg_m2,0.12583635821603814,"[0.42570753796729494, 0.30561817910801914, 0.26867428292468604]",0.032788546565228095,True
experiment_11,Joint MD,20.0,50.0,reg_m1,reg_m2,0.2345736994820962,"[0.38381606665810947, 0.3599868497410481, 0.2561970836008424]",0.03169394786913088,True
experiment_11,Joint MD,5.0,230.0,reg_m1,reg_m2,0.1465761404102199,"[0.4122119297948901, 0.30959873386408254, 0.27818933634102744]",0.03265742793002648,True
experiment_11,Joint MD,20.0,65.0,reg_m1,reg_m2,0.2367895656876243,"[0.3832592492047663, 0.36109478284381213, 0.2556459679514215]",0.03167104249666241,True
experiment_11,Joint MD,5.0,245.0,reg_m1,reg_m2,0.16075191955816923,"[0.40512404022091536, 0.30343016071405376, 0.2914457990650308]",0.03272742430158855,True
experiment_11,Joint MD,5.0,290.0,reg_m1,reg_m2,0.11320789756427688,"[0.43977941305140544, 0.29930394878213845, 0.2609166381664561]",0.03296042849249705,True
experiment_11,Joint MD,5.0,275.0,reg_m1,reg_m2,0.1651212454421557,"[0.4029393772789221, 0.3004141823186335, 0.2966464404024443]",0.03276738551826275,True
experiment_11,Joint MD,5.0,260.0,reg_m1,reg_m2,0.1855084204097127,"[0.39274578979514363, 0.3049351661384317, 0.3023190440664246]",0.032643176330048214,True
experiment_11,Joint MD,20.0,80.0,reg_m1,reg_m2,0.22575379427581374,"[0.3829188666335227, 0.3555768971379069, 0.26150423622857044]",0.03175218136256117,True
experiment_11,Joint MD,5.0,305.0,reg_m1,reg_m2,0.1809270609296119,"[0.39503646953519406, 0.2872098614762811, 0.31775366898852486]",0.03295093303922318,True
experiment_11,Joint MD,20.0,95.0,reg_m1,reg_m2,0.22440315142642434,"[0.37815134939974027, 0.3549015757132122, 0.26694707488704755]",0.03174040148053853,True
experiment_11,Joint MD,20.0,110.0,reg_m1,reg_m2,0.22492441300277313,"[0.3856270127663617, 0.3551622065013866, 0.25921078073225173]",0.03176933792897909,True
experiment_11,Joint MD,20.0,125.0,reg_m1,reg_m2,0.21518499470534128,"[0.3826796222391524, 0.35029249735267065, 0.26702788040817693]",0.03183612593234499,True
experiment_11,Joint MD,20.0,140.0,reg_m1,reg_m2,0.21417710882736582,"[0.38714204051537077, 0.34978855441368295, 0.26306940507094634]",0.031866331895220465,True
experiment_11,Joint MD,20.0,155.0,reg_m1,reg_m2,0.21034792146702605,"[0.380326039266487, 0.3418494015480099, 0.27782455918550314]",0.03196726638141721,True
experiment_11,Joint MD,20.0,170.0,reg_m1,reg_m2,0.23995942784103982,"[0.36552028607948006, 0.3495850135906051, 0.28489470032991476]",0.031765797844006044,True
experiment_11,Joint MD,20.0,185.0,reg_m1,reg_m2,0.21563629519089864,"[0.38269038171146963, 0.3505181475954493, 0.266791470693081]",0.031831371613597864,True
