experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_7,Joint MD,300.0,1.0,reg_m1,reg_m2,0.6807441719894403,"[0.5000154347563183, 0.4999845652436818]",1.115135975332263,True
experiment_7,Joint MD,1.0,300.0,reg_m1,reg_m2,0.5974080095313413,"[0.5416835159853677, 0.4583164840146323]",0.5397690621145407,True
experiment_7,Joint MD,1.0,1.0,reg_m1,reg_m2,0.680795058470572,"[0.4999899915157524, 0.5000100084842477]",0.6473742689618516,True
experiment_7,Joint MD,300.0,300.0,reg_m1,reg_m2,0.6514623063871072,"[0.5146563675574848, 0.48534363244251527]",0.8135949579053469,True
experiment_7,Simple WS,0.05,,learning_rate,,0.5491423053550146,"[0.565816368073531, 0.43418363192646897]",0.5195338441975296,True
