experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success,features_used,target_mass_pct
experiment_9,Joint MD,2.0,2.0,reg_m1,reg_m2,0.4829525985086409,"[0.23635586176347867, 0.16134356358797264, 0.07775323147148483, 0.1373710439227434, 0.38717629925432046]",0.002791154982803119,True,1826,90.0
experiment_9,Joint MD,12.0,2.0,reg_m1,reg_m2,0.486136039701113,"[0.22360137134429875, 0.1501669990977685, 0.06015287198550161, 0.1773107377218746, 0.3887680198505565]",0.0019896948274600182,True,1826,90.0
experiment_9,Joint MD,12.0,32.0,reg_m1,reg_m2,0.46193117568565023,"[0.23808257177223788, 0.15810252526455276, 0.05869118694733434, 0.16845812817304992, 0.3766655878428251]",0.0003119037724780959,True,1826,90.0
experiment_9,Joint MD,2.0,32.0,reg_m1,reg_m2,0.39433302593083763,"[0.24239281109200964, 0.18488395298541305, 0.07912113936395734, 0.15073558359320116, 0.3428665129654188]",0.0002833128711064261,True,1826,90.0
experiment_9,Joint MD,2.0,62.0,reg_m1,reg_m2,0.34723070904886577,"[0.23750570097271917, 0.19651933179651135, 0.09029146973368739, 0.1563681429726492, 0.3193153545244328]",0.00029268985851239,True,1826,90.0
experiment_9,Joint MD,2.0,92.0,reg_m1,reg_m2,0.31705307966904395,"[0.21754159010602142, 0.19748287959065255, 0.10468905992583775, 0.17605993054296631, 0.30422653983452197]",0.00030850211078964546,True,1826,90.0
experiment_9,Joint MD,12.0,62.0,reg_m1,reg_m2,0.47732602494685833,"[0.23486970211305672, 0.1584691468251411, 0.051750938280670386, 0.17054720030770262, 0.38436301247342913]",0.00026611931722471697,True,1826,90.0
experiment_9,Joint MD,2.0,122.0,reg_m1,reg_m2,0.277208036679674,"[0.2268378541686736, 0.1719484090682088, 0.12718540192872044, 0.1916097184232807, 0.2824186164111166]",0.00032511312307556653,True,1826,90.0
experiment_9,Joint MD,2.0,152.0,reg_m1,reg_m2,0.28157728537769544,"[0.21654424965859703, 0.1894319356808756, 0.13809963185875157, 0.1822351719716797, 0.27368901083009617]",0.0003396028470098877,True,1826,90.0
experiment_9,Joint MD,2.0,212.0,reg_m1,reg_m2,0.2999867621144947,"[0.2174540870846511, 0.1787569212593087, 0.16159142096776663, 0.18279561059879287, 0.25940196008948074]",0.00036052539631950114,True,1826,90.0
