experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_11,Joint MD,1.0,1.0,reg_m1,reg_m2,0.30385104500440896,"[0.33357447749779545, 0.3333584482898835, 0.3330670742123209]",0.0546471819605355,True
experiment_11,Joint MD,300.0,300.0,reg_m1,reg_m2,0.30568035861051635,"[0.3326598206947418, 0.33693854045535765, 0.33040163884990054]",0.1578449510569019,True
experiment_11,Joint MD,1.0,300.0,reg_m1,reg_m2,0.29677760984263346,"[0.3371111950786833, 0.32677173512593344, 0.3361170697953833]",0.022397649868643347,True
experiment_11,Joint MD,300.0,1.0,reg_m1,reg_m2,0.30402092853934615,"[0.3334895357303269, 0.3333722116098633, 0.33313825265980973]",0.12548319634554703,True
experiment_11,Simple WS,0.05,,learning_rate,,0.3068237693162248,"[0.3320881153418876, 0.31637967596724637, 0.351532208690866]",0.13559163985629907,True
