experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_3,Joint MD,5.0,5.0,reg_m1,reg_m2,1.1822513362399412,"[0.19052890482858756, 0.05058929476226962, 0.13802092132685415, 0.6208608790822886]",0.46343784507652697,True
experiment_3,Joint MD,5.0,20.0,reg_m1,reg_m2,1.2370129453768004,"[0.1375432323794274, 0.07619416264300026, 0.16406069367851425, 0.6222019112990581]",0.59167339244754,True
experiment_3,Joint MD,5.0,35.0,reg_m1,reg_m2,1.2332365064194237,"[0.13918129569429016, 0.0764443188068258, 0.15883802419911053, 0.6255363612997735]",0.593669794061754,True
experiment_3,Joint MD,5.0,50.0,reg_m1,reg_m2,1.2050351440208888,"[0.15164590872757658, 0.07808038697280677, 0.15286869030392114, 0.6174050139956955]",0.5938674004806777,True
experiment_3,Joint MD,5.0,95.0,reg_m1,reg_m2,1.072075741774428,"[0.2164817593296849, 0.07972423749392879, 0.14801331034663553, 0.5557806928297507]",0.5777412510705346,True
experiment_3,Joint MD,5.0,65.0,reg_m1,reg_m2,1.1788134535142738,"[0.16136340292942614, 0.08147373802426475, 0.15022459521826448, 0.6069382638280446]",0.5958206843131424,True
experiment_3,Joint MD,5.0,110.0,reg_m1,reg_m2,0.9905571830466001,"[0.25901457732616373, 0.07795069886136398, 0.13646878843990182, 0.5265659353725705]",0.5661472310873266,True
experiment_3,Joint MD,5.0,80.0,reg_m1,reg_m2,1.1096714886042442,"[0.1906937892321024, 0.08671433417660314, 0.14344769951102737, 0.579144177080267]",0.5952920471390069,True
experiment_3,Joint MD,5.0,125.0,reg_m1,reg_m2,0.9659376566604763,"[0.2659276416618061, 0.08334739771878359, 0.13880449156942126, 0.5119204690499891]",0.5699185960109427,True
experiment_3,Joint MD,5.0,155.0,reg_m1,reg_m2,0.770657479298942,"[0.3514966838105503, 0.09541844425080642, 0.1410146809939891, 0.4120701909446541]",0.5580210238927756,True
experiment_3,Joint MD,5.0,140.0,reg_m1,reg_m2,0.8307097205200893,"[0.3233740380180916, 0.09351496943269151, 0.14316249435362713, 0.43994849819558973]",0.5635734245964071,True
experiment_3,Joint MD,5.0,170.0,reg_m1,reg_m2,0.6505052690133853,"[0.4103088479260533, 0.09668238527808173, 0.14905484742837918, 0.34395391936748565]",0.5394412048510532,True
experiment_3,Joint MD,20.0,20.0,reg_m1,reg_m2,1.2114114685732371,"[0.18069360898691395, 0.0458445244372953, 0.14333546258275973, 0.6301264039930311]",0.45932623998783617,True
experiment_3,Joint MD,5.0,185.0,reg_m1,reg_m2,0.707994024619375,"[0.3778007587850879, 0.10044609661605246, 0.1391529869048902, 0.3826001576939696]",0.5567055513115601,True
experiment_3,Joint MD,5.0,200.0,reg_m1,reg_m2,0.6444540513364819,"[0.4195670282652474, 0.09044981377733935, 0.13248650135535292, 0.3574966566020602]",0.5340110541777343,True
experiment_3,Joint MD,20.0,35.0,reg_m1,reg_m2,1.2351321095811547,"[0.15404211066543333, 0.06063570225481706, 0.14993556026956859, 0.635386626810181]",0.5719959831746785,True
experiment_3,Joint MD,5.0,215.0,reg_m1,reg_m2,0.588968036469528,"[0.43197381620960845, 0.1177124698084856, 0.14458750614329285, 0.305726207838613]",0.5596047682813514,True
experiment_3,Joint MD,20.0,5.0,reg_m1,reg_m2,1.2337341539812647,"[0.17070590758377044, 0.044670883136424894, 0.144793609827042, 0.6398295994527626]",0.42096365413581627,True
