experiment,n_components,ground_truth,joint_proportions,joint_cost,joint_time,joint_features,joint_l1_error,joint_l2_error,joint_max_error,simple_proportions,simple_cost,simple_ws_uniform,simple_time,simple_iterations,simple_converged,simple_l1_error,simple_l2_error,simple_max_error,gt_Leucine,joint_Leucine,simple_Leucine,gt_Isoleucine,joint_Isoleucine,simple_Isoleucine,gt_Valine,joint_Valine,simple_Valine,gt_Benzyl benzoate,joint_Benzyl benzoate,simple_Benzyl benzoate,gt_m Anisaldehyde,joint_m Anisaldehyde,simple_m Anisaldehyde,gt_Isopropyl myristate,joint_Isopropyl myristate,simple_Isopropyl myristate,gt_Alpha pinene,joint_Alpha pinene,simple_Alpha pinene,gt_Limonene,joint_Limonene,simple_Limonene,gt_Lactate,joint_Lactate,simple_Lactate,gt_Alanine,joint_Alanine,simple_Alanine,gt_Creatine,joint_Creatine,simple_Creatine,gt_Creatinine,joint_Creatinine,simple_Creatinine,gt_Choline chloride,joint_Choline chloride,simple_Choline chloride,gt_Pinene,joint_Pinene,simple_Pinene
experiment_10,3,"[0.2538, 0.4949, 0.2513]","[0.27512889659264694, 0.3089781002033444, 0.4158930032040087]",0.07499885752068675,113.11616611480713,1370,0.3718437995933112,0.24922425916746604,0.18592189979665563,"[0.08632112806047132, 0.36862936350431535, 0.5450495084352134]",0.060686120061961064,0.11352195795368199,6.260864019393921,342,True,0.5874990168704267,0.36094628394415124,0.29374950843521336,0.2538,0.27512889659264694,0.08632112806047132,0.4949,0.3089781002033444,0.36862936350431535,0.2513,0.4158930032040087,0.5450495084352134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment_11,3,"[0.4855, 0.2427, 0.2718]","[0.3692481849283369, 0.3009247250830233, 0.3298270899886398]",0.05634137984022248,113.33256602287292,1370,0.23250363014332623,0.14237888288295952,0.1162518150716631,"[0.2792542005802926, 0.44566606426491745, 0.27507973515478995]",0.10073281226239116,0.10705181774040302,6.173582077026367,340,True,0.4124915988394148,0.28938436323365907,0.2062457994197074,0.4855,0.3692481849283369,0.2792542005802926,0.2427,0.3009247250830233,0.44566606426491745,0.2718,0.3298270899886398,0.27507973515478995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment_7,2,"[0.8403875207510383, 0.1596124792489616]","[0.7137956734288466, 0.28620432657115336]",0.46895919424131116,152.28494429588318,2233,0.2531836946443834,0.17902790736890767,0.12659184732219175,"[0.994236868870842, 0.005763131129158019]",0.1388575785791522,0.5046850328161165,6.709092855453491,313,True,0.3076986962396072,0.21757583467328592,0.15384934811980366,,,,,,,,,,0.8403875207510383,0.7137956734288466,0.994236868870842,0.1596124792489616,0.28620432657115336,0.005763131129158019,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment_8,2,"[0.3702, 0.6298]","[0.4751786126071922, 0.5248213873928079]",0.5425765557663638,156.0919291973114,2338,0.2099572252143843,0.14846217770820233,0.10497861260719221,"[0.22878535615384177, 0.7712146438461583]",0.4481636414784071,0.5951578964565662,4.753052234649658,210,True,0.2828292876923165,0.19999050724539796,0.14141464384615832,,,,,,,,,,0.3702,0.4751786126071922,0.22878535615384177,0.6298,0.5248213873928079,0.7712146438461583,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment_3,4,"[0.7264578344443725, 0.10578603326645526, 0.081968804608116, 0.08578732768105625]","[0.3104567732772949, 0.10987209683851774, 0.1545283909125989, 0.42514273897158855]",0.7624807582625984,167.2607114315033,2109,0.8320021223341554,0.5417569266234569,0.41600106116707763,"[0.8310276969813065, 6.728965807538291e-16, 0.05786073958131936, 0.11111156343737345]",0.24926348901398726,1.6607308797957168,0.3718087673187256,376,True,0.25978819658650243,0.15280070909921362,0.1057860332664546,,,,,,,,,,0.10578603326645526,0.10987209683851774,6.728965807538291e-16,,,,0.7264578344443725,0.3104567732772949,0.8310276969813065,0.081968804608116,0.1545283909125989,0.05786073958131936,0.08578732768105625,0.42514273897158855,0.11111156343737345,,,,,,,,,,,,,,,,,,
experiment_5,5,"[0.3022, 0.224, 0.1253, 0.2028, 0.1457]","[0.2818497478645883, 0.19693319662526407, 0.24055416704598567, 0.15202353980878477, 0.1286393486553773]",0.057027837457457535,167.2732331752777,2351,0.2305083340919713,0.13152787674944905,0.11525416704598568,"[0.02553402890213754, 0.02932990183815692, 0.24647565111832453, 0.27034430609706245, 0.4283161120443186]",0.5241060718861588,0.6278984554302174,0.5113739967346191,460,True,0.9426721385194111,0.46212351723213063,0.2826161120443186,,,,,,,,,,,,,,,,,,,,,,,,,0.3022,0.2818497478645883,0.02553402890213754,0.224,0.19693319662526407,0.02932990183815692,0.1253,0.24055416704598567,0.24647565111832453,0.2028,0.15202353980878477,0.27034430609706245,0.1457,0.1286393486553773,0.4283161120443186,,,
experiment_4,5,"[0.3022, 0.224, 0.1253, 0.2028, 0.1457]","[0.2548812297711363, 0.15268770035815044, 0.05013116391570658, 0.1698534874642501, 0.3724464184907566]",0.0325631643283374,169.4169626235962,2297,0.4534928369815132,0.25587941496162203,0.2267464184907566,"[0.06564791650395468, 0.0568734928072943, 0.20576920594573403, 0.22758341716462452, 0.44412596757839257]",0.503396382098156,0.5857001115804339,0.47672224044799805,298,True,0.8073571813775022,0.4243061708362796,0.29842596757839257,,,,,,,,,,,,,,,,,,,,,,,,,0.3022,0.2548812297711363,0.06564791650395468,0.224,0.15268770035815044,0.0568734928072943,0.1253,0.05013116391570658,0.20576920594573403,0.2028,0.1698534874642501,0.22758341716462452,0.1457,0.3724464184907566,0.44412596757839257,,,
experiment_2,2,"[0.505, 0.495]","[0.597155369863232, 0.40284463013676786]",0.02331638440948563,169.4125304222107,2293,0.18431073972646417,0.13032737390609161,0.09215536986323214,"[0.5624327522221628, 0.4375672477778371]",0.2222284106487813,0.23086618643664458,0.7493071556091309,276,True,0.1148655044443257,0.08122217711699621,0.057432752222162875,,,,,,,,,,,,,,,,,,,,,,0.495,0.40284463013676786,0.4375672477778371,,,,,,,,,,,,,,,,0.505,0.597155369863232,0.5624327522221628
experiment_9,5,"[0.3022, 0.224, 0.1253, 0.2028, 0.1457]","[0.18848982149463517, 0.15270756096332505, 0.1624957019531784, 0.14399091052687626, 0.3523160050619852]",0.007568951368344783,171.34968495368958,2297,0.48762341403032716,0.25601722472470834,0.2066160050619852,"[0.06572796799120312, 0.050562815458920364, 0.21885718997321946, 0.2414259254589714, 0.4234261011176856]",0.5009693019417963,0.5834016931362205,0.2641642093658447,305,True,0.819818433099753,0.41638464916370777,0.2777261011176856,,,,,,,,,,,,,,,,,,,,,,,,,0.3022,0.18848982149463517,0.06572796799120312,0.224,0.15270756096332505,0.050562815458920364,0.1253,0.1624957019531784,0.21885718997321946,0.2028,0.14399091052687626,0.2414259254589714,0.1457,0.3523160050619852,0.4234261011176856,,,
experiment_1,2,"[0.09088457406472417, 0.9091154259352758]","[0.22435267106573983, 0.7756473289342601]",0.4751093958246458,173.9407045841217,2483,0.2669361940020314,0.1887523929229642,0.1334680970010157,"[0.0006165599879165675, 0.9993834400120833]",0.4686923033799656,2.337800683446161,0.13379478454589844,140,True,0.1805360281536151,0.1276582497559067,0.0902680140768076,,,,,,,,,,0.9091154259352758,0.7756473289342601,0.9993834400120833,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09088457406472417,0.22435267106573983,0.0006165599879165675
