experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success,features_used,target_mass_pct
experiment_1,Joint MD,2.0,2.0,reg_m1,reg_m2,0.2967877618102075,"[0.2392784549698279, 0.7607215450301721]",0.00658882326055942,True,4582,90.0
experiment_1,Joint MD,12.0,2.0,reg_m1,reg_m2,0.21952572862442146,"[0.2006474383769349, 0.7993525616230651]",0.00349899398435642,True,4582,90.0
experiment_1,Joint MD,2.0,32.0,reg_m1,reg_m2,0.07725401809822197,"[0.052257565015613176, 0.9477424349843868]",0.0008417616472439997,True,4582,90.0
experiment_1,Joint MD,2.0,62.0,reg_m1,reg_m2,0.096797322264525,"[0.0424859129324617, 0.9575140870675384]",0.0005004941328312879,True,4582,90.0
experiment_1,Joint MD,2.0,92.0,reg_m1,reg_m2,0.1152003551345891,"[0.03328439649742959, 0.9667156035025704]",0.00041205314493913194,True,4582,90.0
experiment_1,Joint MD,2.0,122.0,reg_m1,reg_m2,0.1360479500763024,"[0.022860599026572913, 0.977139400973427]",0.00040052602082775603,True,4582,90.0
experiment_1,Joint MD,2.0,212.0,reg_m1,reg_m2,0.16525467146350953,"[0.00825723833296939, 0.9917427616670306]",0.00038064483593775833,True,4582,90.0
experiment_1,Joint MD,2.0,152.0,reg_m1,reg_m2,0.15013854156576317,"[0.015815303281842597, 0.9841846967181574]",0.0003939072416382903,True,4582,90.0
experiment_1,Joint MD,12.0,32.0,reg_m1,reg_m2,0.00819102045269092,"[0.09498008429106962, 0.9050199157089304]",0.0010540234891404463,True,4582,90.0
experiment_1,Joint MD,2.0,242.0,reg_m1,reg_m2,0.17021518967751598,"[0.005776979225966164, 0.9942230207740338]",0.0003765681350692047,True,4582,90.0
experiment_1,Joint MD,2.0,182.0,reg_m1,reg_m2,0.16065092945092818,"[0.010559109339260095, 0.9894408906607399]",0.00039034698119652466,True,4582,90.0
