experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_10,Joint MD,5.0,5.0,reg_m1,reg_m2,0.3217056096240962,"[0.320844068832069, 0.33404719518795184, 0.3451087359799791]",0.09914488280213281,True
experiment_10,Joint MD,15.555555555555555,15.555555555555555,reg_m1,reg_m2,0.3223597976285243,"[0.2967131053783327, 0.3337201011857378, 0.36956679343592946]",0.09862979309325494,True
experiment_10,Joint MD,5.0,15.555555555555555,reg_m1,reg_m2,0.3206029180687869,"[0.3149740216262268, 0.33459854096560654, 0.3504274374081667]",0.08010836299923836,True
experiment_10,Joint MD,15.555555555555555,5.0,reg_m1,reg_m2,0.31898679652528994,"[0.31758500233552367, 0.335406601737355, 0.3470083959271213]",0.09915033320572687,True
experiment_10,Joint MD,5.0,26.11111111111111,reg_m1,reg_m2,0.31919075940390634,"[0.31345819672160397, 0.33530462029804675, 0.35123718298034917]",0.07982210629362271,True
experiment_10,Joint MD,15.555555555555555,26.11111111111111,reg_m1,reg_m2,0.31671689123315855,"[0.2928007196700309, 0.3365415543834207, 0.3706577259465484]",0.07744159087098978,True
experiment_10,Joint MD,5.0,36.666666666666664,reg_m1,reg_m2,0.31803267603620067,"[0.3132558465642367, 0.3358836619818996, 0.3508604914538636]",0.07978187731749527,True
experiment_10,Joint MD,5.0,47.22222222222222,reg_m1,reg_m2,0.31784671845634077,"[0.31400543358961175, 0.33597664077182954, 0.3500179256385586]",0.07986517251368101,True
experiment_10,Joint MD,5.0,57.77777777777778,reg_m1,reg_m2,0.3172560985705732,"[0.31457974034233704, 0.33627195071471333, 0.3491483089429495]",0.07993646829299451,True
experiment_10,Joint MD,5.0,68.33333333333333,reg_m1,reg_m2,0.31561635688311557,"[0.3144917554535876, 0.3370918215584422, 0.3484164229879702]",0.07992309975019761,True
experiment_10,Joint MD,5.0,100.0,reg_m1,reg_m2,0.31664184167405957,"[0.31703540330985014, 0.33657907916297025, 0.3463855175271797]",0.08024253167572362,True
