experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_2,Joint MD,5.0,5.0,reg_m1,reg_m2,0.08061046102664854,"[0.4646947694866757, 0.5353052305133242]",0.05784472253439861,True
experiment_2,Joint MD,42.5,42.5,reg_m1,reg_m2,0.1093434933953315,"[0.4503282533023342, 0.5496717466976657]",0.05694263575541349,True
experiment_2,Joint MD,42.5,80.0,reg_m1,reg_m2,0.12214757253753761,"[0.4439262137312312, 0.5560737862687688]",0.03906614936914067,True
experiment_2,Joint MD,42.5,117.5,reg_m1,reg_m2,0.14100375692113437,"[0.43449812153943285, 0.5655018784605672]",0.03868635617052755,True
experiment_2,Joint MD,42.5,5.0,reg_m1,reg_m2,0.13573344780924962,"[0.43713327609537517, 0.5628667239046248]",0.0581522128650115,True
experiment_2,Joint MD,5.0,42.5,reg_m1,reg_m2,0.14896444183919444,"[0.4305177790804028, 0.5694822209195972]",0.03851061649604444,True
experiment_2,Joint MD,5.0,80.0,reg_m1,reg_m2,0.14876569522433525,"[0.4306171523878324, 0.5693828476121676]",0.03851134883271449,True
experiment_2,Joint MD,42.5,155.0,reg_m1,reg_m2,0.13502139722870998,"[0.437489301385645, 0.562510698614355]",0.03879008794810236,True
experiment_2,Joint MD,5.0,192.5,reg_m1,reg_m2,0.16643984164791414,"[0.4217800791760429, 0.578219920823957]",0.03817092241588845,True
experiment_2,Joint MD,5.0,117.5,reg_m1,reg_m2,0.10421939800380264,"[0.4528903009980987, 0.5471096990019013]",0.03937981806545397,True
experiment_2,Joint MD,5.0,155.0,reg_m1,reg_m2,0.10152185474361558,"[0.45423907262819224, 0.5457609273718078]",0.03943345156535765,True
experiment_2,Joint MD,80.0,80.0,reg_m1,reg_m2,0.12130741014864316,"[0.4443462949256784, 0.5556537050743215]",0.05699616988621719,True
experiment_2,Joint MD,5.0,267.5,reg_m1,reg_m2,0.10822730402816028,"[0.45088634798591987, 0.5491136520140801]",0.039305170013579575,True
experiment_2,Joint MD,5.0,230.0,reg_m1,reg_m2,0.1401016586185868,"[0.4349491706907066, 0.5650508293092934]",0.03868656860158725,True
experiment_2,Joint MD,5.0,305.0,reg_m1,reg_m2,0.11008199195901691,"[0.4499590040204916, 0.5500409959795085]",0.03926801642765291,True
experiment_2,Joint MD,42.5,192.5,reg_m1,reg_m2,0.1268629341468226,"[0.4415685329265887, 0.5584314670734113]",0.03893718387930522,True
experiment_2,Joint MD,80.0,117.5,reg_m1,reg_m2,0.1348088080183253,"[0.4375955959908374, 0.5624044040091627]",0.03905181555918326,True
experiment_2,Joint MD,80.0,42.5,reg_m1,reg_m2,0.13885675851146395,"[0.43557162074426803, 0.564428379255732]",0.05806772492720477,True
experiment_2,Joint MD,42.5,230.0,reg_m1,reg_m2,0.13609744646652683,"[0.43695127676673656, 0.5630487232332634]",0.03876424555112845,True
experiment_2,Joint MD,42.5,267.5,reg_m1,reg_m2,0.13570532094060578,"[0.43714733952969714, 0.5628526604703029]",0.038771420827105975,True
experiment_2,Joint MD,42.5,305.0,reg_m1,reg_m2,0.15258406542685438,"[0.42870796728657284, 0.5712920327134272]",0.03843961102491023,True
experiment_2,Joint MD,80.0,155.0,reg_m1,reg_m2,0.14087938982913062,"[0.43456030508543475, 0.5654396949145654]",0.03868800163057603,True
experiment_2,Joint MD,117.5,117.5,reg_m1,reg_m2,0.11983905684292262,"[0.4450804715785387, 0.5549195284214613]",0.05681557765327155,True
experiment_2,Joint MD,80.0,5.0,reg_m1,reg_m2,0.13337829208730606,"[0.438310853956347, 0.561689146043653]",0.058136950057913334,True
experiment_2,Joint MD,80.0,230.0,reg_m1,reg_m2,0.14166983566858438,"[0.4341650821657078, 0.5658349178342922]",0.0386589538919868,True
