experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success,features_used,target_mass_pct
experiment_8,Joint MD,2.0,2.0,reg_m1,reg_m2,0.31747459497822594,"[0.528937297489113, 0.4710627025108871]",0.007775226495003106,True,5444,90.0
experiment_8,Joint MD,2.0,122.0,reg_m1,reg_m2,0.9836617313614627,"[0.8620308656807314, 0.1379691343192687]",0.0023335847484952555,True,5444,90.0
experiment_8,Joint MD,2.0,242.0,reg_m1,reg_m2,0.990159062166449,"[0.8652795310832245, 0.13472046891677555]",0.0012793424044819164,True,5444,90.0
experiment_8,Joint MD,2.0,92.0,reg_m1,reg_m2,0.9994787064014102,"[0.869939353200705, 0.13006064679929488]",0.0024073315070799644,True,5444,90.0
experiment_8,Joint MD,2.0,272.0,reg_m1,reg_m2,1.0064484692468885,"[0.8734242346234442, 0.1265757653765558]",0.0011224895665685986,True,5444,90.0
experiment_8,Joint MD,2.0,152.0,reg_m1,reg_m2,1.0011766226829457,"[0.8707883113414728, 0.12921168865852706]",0.002037375239002003,True,5444,90.0
experiment_8,Joint MD,2.0,62.0,reg_m1,reg_m2,1.0401746533926972,"[0.8902873266963486, 0.10971267330365135]",0.002331906951106718,True,5444,90.0
experiment_8,Joint MD,2.0,302.0,reg_m1,reg_m2,1.0146745899896752,"[0.8775372949948376, 0.12246270500516244]",0.001024650856296725,True,5444,90.0
experiment_8,Joint MD,2.0,212.0,reg_m1,reg_m2,0.9914868563898069,"[0.8659434281949034, 0.13405657180509659]",0.0015244127998717937,True,5444,90.0
experiment_8,Joint MD,2.0,182.0,reg_m1,reg_m2,1.0015177848735926,"[0.8709588924367963, 0.12904110756320364]",0.0017736803254276346,True,5444,90.0
experiment_8,Joint MD,2.0,32.0,reg_m1,reg_m2,1.1021315155278022,"[0.921265757763901, 0.07873424223609894]",0.002138753148870721,True,5444,90.0
experiment_8,Joint MD,12.0,2.0,reg_m1,reg_m2,0.2919910378868664,"[0.5161955189434332, 0.4838044810565668]",0.006929234986336351,True,5444,90.0
experiment_8,Joint MD,12.0,32.0,reg_m1,reg_m2,0.6440515254276382,"[0.6922257627138191, 0.3077742372861809]",0.0025595127561840445,True,5444,90.0
experiment_8,Joint MD,12.0,122.0,reg_m1,reg_m2,1.0501147556873323,"[0.8952573778436661, 0.1047426221563339]",0.0024784411573536007,True,5444,90.0
experiment_8,Joint MD,12.0,62.0,reg_m1,reg_m2,1.1291016388559831,"[0.9347508194279915, 0.06524918057200833]",0.0022677020964139197,True,5444,90.0
experiment_8,Joint MD,12.0,92.0,reg_m1,reg_m2,1.0756685406668878,"[0.9080342703334439, 0.09196572966655613]",0.00243292027393072,True,5444,90.0
experiment_8,Joint MD,12.0,242.0,reg_m1,reg_m2,1.0093999718279445,"[0.8748999859139722, 0.12510001408602775]",0.002106878049249032,True,5444,90.0
experiment_8,Joint MD,12.0,182.0,reg_m1,reg_m2,1.0291649668061105,"[0.8847824834030552, 0.11521751659694472]",0.002391254077795912,True,5444,90.0
experiment_8,Joint MD,12.0,272.0,reg_m1,reg_m2,1.012480620766441,"[0.8764403103832205, 0.12355968961677954]",0.001880877780613006,True,5444,90.0
experiment_8,Joint MD,12.0,152.0,reg_m1,reg_m2,1.046842684037348,"[0.8936213420186739, 0.10637865798132605]",0.0024420947044821012,True,5444,90.0
experiment_8,Joint MD,12.0,212.0,reg_m1,reg_m2,1.0257052988874258,"[0.8830526494437129, 0.11694735055628719]",0.0022956290182185647,True,5444,90.0
experiment_8,Joint MD,12.0,302.0,reg_m1,reg_m2,1.0162613696664717,"[0.8783306848332358, 0.12166931516676423]",0.0017527682877636907,True,5444,90.0
experiment_8,Joint MD,22.0,32.0,reg_m1,reg_m2,0.34721940879685387,"[0.5438097043984269, 0.4561902956015731]",0.003911469760729285,True,5444,90.0
experiment_8,Joint MD,22.0,2.0,reg_m1,reg_m2,0.2922432925766694,"[0.5163216462883347, 0.4836783537116653]",0.007123543770653749,True,5444,90.0
experiment_8,Joint MD,32.0,32.0,reg_m1,reg_m2,0.31241686435903365,"[0.5264084321795168, 0.47359156782048323]",0.0075789846020530615,True,5444,90.0
experiment_8,Joint MD,22.0,122.0,reg_m1,reg_m2,1.1014661239425179,"[0.9209330619712588, 0.07906693802874111]",0.002495692867828473,True,5444,90.0
experiment_8,Joint MD,22.0,212.0,reg_m1,reg_m2,1.0604097848694325,"[0.9004048924347163, 0.09959510756528377]",0.002490397002245134,True,5444,90.0
experiment_8,Joint MD,22.0,302.0,reg_m1,reg_m2,1.0304677555010229,"[0.8854338777505113, 0.11456612224948859]",0.002199280251216064,True,5444,90.0
experiment_8,Joint MD,22.0,182.0,reg_m1,reg_m2,1.0669520977816926,"[0.9036760488908463, 0.09632395110915376]",0.0025714440253028848,True,5444,90.0
experiment_8,Joint MD,22.0,62.0,reg_m1,reg_m2,0.9842430601018275,"[0.8623215300509137, 0.13767846994908622]",0.0024146700804400486,True,5444,90.0
experiment_8,Joint MD,22.0,272.0,reg_m1,reg_m2,1.0483567742012725,"[0.8943783871006362, 0.1056216128993638]",0.0022901186846963142,True,5444,90.0
experiment_8,Joint MD,22.0,152.0,reg_m1,reg_m2,1.073973839407934,"[0.9071869197039669, 0.09281308029603295]",0.0025947769160035534,True,5444,90.0
experiment_8,Joint MD,22.0,242.0,reg_m1,reg_m2,1.0492984963646805,"[0.8948492481823402, 0.10515075181765972]",0.0024227802751731076,True,5444,90.0
experiment_8,Joint MD,22.0,92.0,reg_m1,reg_m2,1.1712808649785083,"[0.955840432489254, 0.04415956751074592]",0.002349103928882666,True,5444,90.0
experiment_8,Joint MD,32.0,62.0,reg_m1,reg_m2,0.5664727090818322,"[0.6534363545409161, 0.34656364545908386]",0.002995580157332918,True,5444,90.0
experiment_8,Joint MD,32.0,2.0,reg_m1,reg_m2,0.29285306588007676,"[0.5166265329400384, 0.48337346705996165]",0.007287252557932053,True,5444,90.0
experiment_8,Joint MD,32.0,242.0,reg_m1,reg_m2,1.0637388149701321,"[0.902069407485066, 0.09793059251493391]",0.002542574600396635,True,5444,90.0
experiment_8,Joint MD,32.0,212.0,reg_m1,reg_m2,1.079925132278242,"[0.9101625661391209, 0.08983743386087897]",0.002557382113954088,True,5444,90.0
experiment_8,Joint MD,32.0,182.0,reg_m1,reg_m2,1.0923731761207658,"[0.9163865880603829, 0.08361341193961715]",0.0026072435730844206,True,5444,90.0
experiment_8,Joint MD,32.0,272.0,reg_m1,reg_m2,1.0575442761760452,"[0.8989721380880227, 0.10102786191197743]",0.002553335386685422,True,5444,90.0
experiment_8,Joint MD,42.0,32.0,reg_m1,reg_m2,0.3085835326489228,"[0.5244917663244614, 0.4755082336755386]",0.008736291339810645,True,5444,90.0
experiment_8,Joint MD,32.0,302.0,reg_m1,reg_m2,1.0563378475008824,"[0.8983689237504413, 0.10163107624955882]",0.002453487033778611,True,5444,90.0
experiment_8,Joint MD,32.0,152.0,reg_m1,reg_m2,1.131689192287603,"[0.9360445961438014, 0.06395540385619868]",0.0025791600327367873,True,5444,90.0
experiment_8,Joint MD,32.0,122.0,reg_m1,reg_m2,1.1746300938984566,"[0.9575150469492283, 0.042484953050771754]",0.0024558211327881316,True,5444,90.0
experiment_8,Joint MD,32.0,92.0,reg_m1,reg_m2,1.1616893078789094,"[0.9510446539394546, 0.04895534606054536]",0.00235197141879615,True,5444,90.0
experiment_8,Joint MD,42.0,62.0,reg_m1,reg_m2,0.3822646825892759,"[0.5613323412946379, 0.4386676587053621]",0.0035855037776569656,True,5444,90.0
experiment_8,Joint MD,42.0,182.0,reg_m1,reg_m2,1.1244125454597627,"[0.9324062727298812, 0.06759372727011873]",0.0026485606421107824,True,5444,90.0
experiment_8,Joint MD,42.0,122.0,reg_m1,reg_m2,1.1941702417079965,"[0.9672851208539983, 0.03271487914600174]",0.002413548852812065,True,5444,90.0
experiment_8,Joint MD,42.0,2.0,reg_m1,reg_m2,0.29307989134444706,"[0.5167399456722235, 0.48326005432777647]",0.007477173096865489,True,5444,90.0
experiment_8,Joint MD,42.0,92.0,reg_m1,reg_m2,0.8150124094784609,"[0.7777062047392304, 0.22229379526076956]",0.0028140040286113656,True,5444,90.0
experiment_8,Joint MD,52.0,62.0,reg_m1,reg_m2,0.32352675235008216,"[0.5319633761750411, 0.468036623824959]",0.004823209192869393,True,5444,90.0
experiment_8,Joint MD,42.0,242.0,reg_m1,reg_m2,1.1015593204833924,"[0.9209796602416962, 0.07902033975830379]",0.0027313646112437535,True,5444,90.0
experiment_8,Joint MD,42.0,212.0,reg_m1,reg_m2,1.1288578625920893,"[0.9346289312960447, 0.06537106870395532]",0.002747363886807897,True,5444,90.0
experiment_8,Joint MD,52.0,32.0,reg_m1,reg_m2,0.30788436579280054,"[0.5241421828964002, 0.47585781710359976]",0.008813948296026409,True,5444,90.0
experiment_8,Joint MD,42.0,302.0,reg_m1,reg_m2,1.0861002096106975,"[0.9132501048053487, 0.08674989519465125]",0.002680557081461796,True,5444,90.0
experiment_8,Joint MD,42.0,272.0,reg_m1,reg_m2,1.0922918962688386,"[0.9163459481344193, 0.08365405186558066]",0.0026865230298739303,True,5444,90.0
experiment_8,Joint MD,42.0,152.0,reg_m1,reg_m2,1.1979019665787252,"[0.9691509832893626, 0.030849016710637493]",0.0025478511559587085,True,5444,90.0
experiment_8,Joint MD,52.0,92.0,reg_m1,reg_m2,0.5568445599333707,"[0.6486222799666853, 0.3513777200333147]",0.0032521810814300184,True,5444,90.0
experiment_8,Joint MD,52.0,182.0,reg_m1,reg_m2,1.1839956389186392,"[0.9621978194593195, 0.037802180540680415]",0.0026079309147234862,True,5444,90.0
experiment_8,Joint MD,52.0,152.0,reg_m1,reg_m2,1.2095882219257976,"[0.9749941109628988, 0.025005889037101253]",0.002526029032752536,True,5444,90.0
experiment_8,Joint MD,52.0,242.0,reg_m1,reg_m2,1.1305553574394205,"[0.9354776787197102, 0.06452232128028969]",0.002699551087020893,True,5444,90.0
experiment_8,Joint MD,52.0,272.0,reg_m1,reg_m2,1.1068358455865173,"[0.9236179227932586, 0.07638207720674142]",0.002713343905768337,True,5444,90.0
