experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_6,Joint MD,42.5,42.5,reg_m1,reg_m2,0.0971207062539059,"[0.43506035312695296, 0.5649396468730471]",0.3699577669341878,True
experiment_6,Joint MD,5.0,5.0,reg_m1,reg_m2,0.09196445929300268,"[0.43248222964650135, 0.5675177703534987]",0.34824501458325025,True
experiment_6,Joint MD,42.5,80.0,reg_m1,reg_m2,0.02585347653927178,"[0.3735732617303641, 0.6264267382696359]",0.5307256927056577,True
experiment_6,Joint MD,42.5,5.0,reg_m1,reg_m2,0.026429046494390596,"[0.3732854767528047, 0.6267145232471953]",0.39785384504540194,True
experiment_6,Joint MD,5.0,42.5,reg_m1,reg_m2,0.14699888468228484,"[0.4599994423411424, 0.5400005576588576]",0.49661161529581604,True
experiment_6,Joint MD,42.5,117.5,reg_m1,reg_m2,0.02941061881676399,"[0.371794690591618, 0.628205309408382]",0.5325034846897163,True
experiment_6,Joint MD,42.5,155.0,reg_m1,reg_m2,0.015063636661919733,"[0.3789681816690401, 0.6210318183309599]",0.5296631372052857,True
experiment_6,Joint MD,5.0,80.0,reg_m1,reg_m2,0.11272988803967976,"[0.44286494401983983, 0.5571350559801601]",0.5036949947192956,True
experiment_6,Joint MD,5.0,117.5,reg_m1,reg_m2,0.09448669848366092,"[0.43374334924183044, 0.5662566507581696]",0.5073792274578592,True
experiment_6,Joint MD,5.0,267.5,reg_m1,reg_m2,0.0902063764072279,"[0.4316031882036139, 0.568396811796386]",0.5083056707031717,True
experiment_6,Joint MD,5.0,155.0,reg_m1,reg_m2,0.06899729263659443,"[0.4209986463182972, 0.5790013536817028]",0.5126232458858765,True
experiment_6,Joint MD,5.0,192.5,reg_m1,reg_m2,0.03811930893372084,"[0.40555965446686043, 0.5944403455331396]",0.5188678623551539,True
experiment_6,Joint MD,80.0,80.0,reg_m1,reg_m2,0.054023213377863644,"[0.4135116066889318, 0.5864883933110682]",0.36792797194172383,True
experiment_6,Joint MD,5.0,305.0,reg_m1,reg_m2,0.04918530229108753,"[0.4110926511455438, 0.5889073488544563]",0.5166301337154978,True
experiment_6,Joint MD,5.0,230.0,reg_m1,reg_m2,0.05805748739247957,"[0.4155287436962397, 0.5844712563037602]",0.5148161879845266,True
experiment_6,Joint MD,42.5,192.5,reg_m1,reg_m2,0.04744343315903882,"[0.3627782834204806, 0.6372217165795194]",0.5363688684264251,True
experiment_6,Joint MD,80.0,42.5,reg_m1,reg_m2,0.035549883649580005,"[0.36872505817521, 0.63127494182479]",0.3982651757006552,True
experiment_6,Joint MD,80.0,117.5,reg_m1,reg_m2,0.04112424502604817,"[0.36593787748697587, 0.6340621225130241]",0.5322961448410348,True
experiment_6,Joint MD,42.5,230.0,reg_m1,reg_m2,0.028722502132886518,"[0.37213874893355675, 0.6278612510664433]",0.532357345449317,True
experiment_6,Joint MD,117.5,117.5,reg_m1,reg_m2,0.07626963734360398,"[0.424634818671802, 0.575365181328198]",0.3803885703843816,True
experiment_6,Joint MD,42.5,267.5,reg_m1,reg_m2,0.024004017332473426,"[0.39850200866623675, 0.6014979913337634]",0.5217194134223927,True
experiment_6,Joint MD,80.0,155.0,reg_m1,reg_m2,0.07138479729914216,"[0.35080760135042893, 0.6491923986495711]",0.5404510786952313,True
experiment_6,Joint MD,42.5,305.0,reg_m1,reg_m2,0.003946158484610995,"[0.3884730792423055, 0.6115269207576945]",0.5258680769976912,True
experiment_6,Joint MD,80.0,192.5,reg_m1,reg_m2,0.06754615925154234,"[0.3527269203742288, 0.6472730796257712]",0.5402148844797182,True
experiment_6,Joint MD,80.0,5.0,reg_m1,reg_m2,0.024022094660970494,"[0.3744889526695147, 0.6255110473304852]",0.39807919665601954,True
experiment_6,Joint MD,80.0,230.0,reg_m1,reg_m2,0.08194709957385726,"[0.3455264502130713, 0.6544735497869286]",0.5432855801865124,True
experiment_6,Joint MD,117.5,80.0,reg_m1,reg_m2,0.03563165147055758,"[0.36868417426472117, 0.6313158257352788]",0.39723858840680853,True
experiment_6,Joint MD,117.5,155.0,reg_m1,reg_m2,0.02846503200862338,"[0.37226748399568826, 0.6277325160043117]",0.5236151445643135,True
experiment_6,Joint MD,117.5,42.5,reg_m1,reg_m2,0.03931392327141381,"[0.36684303836429305, 0.6331569616357069]",0.3983942285385178,True
experiment_6,Joint MD,80.0,267.5,reg_m1,reg_m2,0.045512289402235784,"[0.3637438552988821, 0.6362561447011179]",0.5360341962798929,True
experiment_6,Joint MD,80.0,305.0,reg_m1,reg_m2,0.052399372253742915,"[0.3603003138731285, 0.6396996861268714]",0.5373597973936397,True
experiment_6,Joint MD,155.0,155.0,reg_m1,reg_m2,0.07167166981134077,"[0.42233583490567034, 0.5776641650943296]",0.38256542953658557,True
experiment_6,Joint MD,117.5,192.5,reg_m1,reg_m2,0.07432279867460145,"[0.34933860066269923, 0.6506613993373007]",0.5411169516778983,True
experiment_6,Joint MD,155.0,117.5,reg_m1,reg_m2,0.038772091479161386,"[0.3671139542604193, 0.6328860457395807]",0.3973999500085998,True
experiment_6,Joint MD,117.5,5.0,reg_m1,reg_m2,0.020265952756876093,"[0.37636702362156194, 0.6236329763784381]",0.3982458828279683,True
experiment_6,Joint MD,155.0,192.5,reg_m1,reg_m2,0.02718005887689462,"[0.3729099705615526, 0.6270900294384473]",0.527302898463411,True
experiment_6,Joint MD,155.0,80.0,reg_m1,reg_m2,0.03922843536218262,"[0.36688578231890867, 0.6331142176810913]",0.398776944953672,True
experiment_6,Joint MD,117.5,230.0,reg_m1,reg_m2,0.0698601095696969,"[0.35156994521515156, 0.6484300547848485]",0.540668580834564,True
experiment_6,Joint MD,117.5,305.0,reg_m1,reg_m2,0.0800700905041557,"[0.3464649547479221, 0.6535350452520778]",0.5430111579922878,True
experiment_6,Joint MD,117.5,267.5,reg_m1,reg_m2,0.06333447230191058,"[0.35483276384904466, 0.6451672361509553]",0.5397577327623237,True
experiment_6,Joint MD,155.0,42.5,reg_m1,reg_m2,0.038852705142606636,"[0.3670736474286967, 0.6329263525713034]",0.39856204767447734,True
experiment_6,Joint MD,155.0,230.0,reg_m1,reg_m2,0.06165559727158443,"[0.3556722013642078, 0.6443277986357923]",0.537355215927487,True
experiment_6,Joint MD,192.5,192.5,reg_m1,reg_m2,0.04933933632071946,"[0.4111696681603597, 0.5888303318396403]",0.38134391300741605,True
experiment_6,Joint MD,155.0,5.0,reg_m1,reg_m2,0.018204204632727927,"[0.3773978976836361, 0.622602102316364]",0.3983711844688847,True
experiment_6,Joint MD,192.5,230.0,reg_m1,reg_m2,0.030225955132119564,"[0.37138702243394023, 0.6286129775660598]",0.5297329782029406,True
experiment_6,Joint MD,155.0,305.0,reg_m1,reg_m2,0.06601895065834507,"[0.3534905246708275, 0.6465094753291726]",0.5400287179583898,True
experiment_6,Joint MD,155.0,267.5,reg_m1,reg_m2,0.0903909386121115,"[0.3413045306939442, 0.6586954693060557]",0.5441350291516301,True
experiment_6,Joint MD,192.5,155.0,reg_m1,reg_m2,0.038791036464702555,"[0.36710448176764865, 0.6328955182323512]",0.3966143387691493,True
experiment_6,Joint MD,192.5,117.5,reg_m1,reg_m2,0.046020565447030315,"[0.3634897172764848, 0.6365102827235152]",0.39839013487176095,True
experiment_6,Joint MD,192.5,80.0,reg_m1,reg_m2,0.041420123047759994,"[0.36578993847612, 0.63421006152388]",0.39860626688213113,True
experiment_6,Joint MD,192.5,267.5,reg_m1,reg_m2,0.060662530448945096,"[0.3561687347755274, 0.6438312652244725]",0.5362276506856037,True
experiment_6,Joint MD,230.0,230.0,reg_m1,reg_m2,0.07524096679625658,"[0.4241204833981283, 0.5758795166018718]",0.3885664423868702,True
experiment_6,Joint MD,192.5,42.5,reg_m1,reg_m2,0.03971963671340245,"[0.3666401816432988, 0.6333598183567013]",0.39862771193605534,True
experiment_6,Joint MD,230.0,192.5,reg_m1,reg_m2,0.033600096919341405,"[0.36969995154032925, 0.6303000484596707]",0.39662068371172265,True
experiment_6,Joint MD,192.5,305.0,reg_m1,reg_m2,0.08639567315671459,"[0.3433021634216427, 0.6566978365783573]",0.5428814222683424,True
experiment_6,Joint MD,230.0,267.5,reg_m1,reg_m2,0.026251298081118757,"[0.3733743509594406, 0.6266256490405594]",0.531707735273113,True
experiment_6,Joint MD,230.0,155.0,reg_m1,reg_m2,0.044804917648181286,"[0.36409754117590937, 0.6359024588240907]",0.3981417345601677,True
experiment_6,Joint MD,192.5,5.0,reg_m1,reg_m2,0.018870399528503445,"[0.37706480023574823, 0.6229351997642517]",0.398486180781879,True
experiment_6,Joint MD,230.0,117.5,reg_m1,reg_m2,0.043619542994422056,"[0.3646902285027889, 0.635309771497211]",0.3988337828743646,True
experiment_6,Joint MD,230.0,305.0,reg_m1,reg_m2,0.057699201824734925,"[0.3576503990876325, 0.6423496009123675]",0.5352886680642036,True
experiment_6,Joint MD,230.0,42.5,reg_m1,reg_m2,0.036127598211419865,"[0.36843620089429, 0.6315637991057099]",0.3986436687610627,True
experiment_6,Joint MD,267.5,267.5,reg_m1,reg_m2,0.08800017981843422,"[0.4305000899092171, 0.5694999100907829]",0.39163171099966065,True
experiment_6,Joint MD,230.0,80.0,reg_m1,reg_m2,0.04357727322427052,"[0.36471136338786475, 0.6352886366121353]",0.39872038780423136,True
experiment_6,Joint MD,267.5,230.0,reg_m1,reg_m2,0.022935467382142638,"[0.3750322663089287, 0.6249677336910714]",0.39667367034160395,True
experiment_6,Joint MD,267.5,305.0,reg_m1,reg_m2,0.010987817993240001,"[0.38100609100337995, 0.61899390899662]",0.5311891483686669,True
experiment_6,Joint MD,267.5,155.0,reg_m1,reg_m2,0.045925667084883826,"[0.36353716645755807, 0.6364628335424419]",0.39898529059706106,True
experiment_6,Joint MD,230.0,5.0,reg_m1,reg_m2,0.020810262883988906,"[0.3760948685580055, 0.6239051314419944]",0.39857313727360133,True
experiment_6,Joint MD,267.5,192.5,reg_m1,reg_m2,0.04928697507307589,"[0.361856512463462, 0.6381434875365379]",0.3981012394194819,True
experiment_6,Joint MD,267.5,117.5,reg_m1,reg_m2,0.043897444985932565,"[0.36455127750703364, 0.6354487224929662]",0.39876493501211263,True
experiment_6,Joint MD,267.5,80.0,reg_m1,reg_m2,0.04155361590405032,"[0.36572319204797477, 0.6342768079520251]",0.3987603950409775,True
